Gene,pvalue,estimate,fdr,Result,Construct
Region_297,0.0037104989654935107,-0.019712062514188295,0.011143824135568551,Depleted,VPR
Region_298,1.900256177177597e-4,0.04560233811018889,0.0011765969754579093,Enriched,VPR
Region_299,0.08410002465631074,-0.00927908101227084,0.1264998706976787,NoChange,VPR
Region_300,2.8306858523918424e-4,-0.02522405999381227,0.0016195822851659655,Depleted,VPR
Region_301,9.216093547914282e-5,0.04652461708837092,6.773454119767896e-4,Enriched,VPR
Region_302,5.143157052215419e-4,-0.02317480684792834,0.0024600073942871634,Depleted,VPR
Region_303,0.06905320666714487,0.013334330011274705,0.10818734632079544,NoChange,VPR
Region_304,0.002619092439267621,0.022452969299063832,0.008560428569861655,Enriched,VPR
Region_305,0.9126674262506782,-5.877115506393721e-4,0.9280667641514208,NoChange,VPR
Region_306,4.4812414324625784e-4,-0.021784823612880755,0.0022505790305256505,Depleted,VPR
Region_307,0.35689733052435335,0.00607958124927271,0.4284663835245889,NoChange,VPR
Region_308,0.0025189608557501025,-0.011706516079389901,0.00837184049116946,Depleted,VPR
Region_309,0.030334088367051017,-0.015239654715151645,0.05654023893569922,NoChange,VPR
Region_311,0.013184063766363864,-0.019794850657080157,0.029355649371411163,Depleted,VPR
Region_312,1.278964465343467e-4,-0.0423165509015307,8.501352034341869e-4,Depleted,VPR
Region_313,0.6681281564476002,-0.003382427081854745,0.7203822756511673,NoChange,VPR
Region_314,0.3636256483774276,0.010148219358615264,0.4353875313022445,NoChange,VPR
Region_315,0.03722424821848244,-0.010520789096653905,0.06650339997926508,NoChange,VPR
Region_316,0.43071358104025753,-0.01334274345259996,0.49918599648768314,NoChange,VPR
Region_317,1.2441997421366692e-4,-0.022408660651174438,8.331530125122585e-4,Depleted,VPR
Region_318,0.003933141347230701,-0.03586670637520816,0.011544025252910888,Depleted,VPR
Region_319,0.9584023204709258,-4.0034325246780664e-4,0.9691227043688108,NoChange,VPR
Region_320,0.16019147377478482,0.014089127350521244,0.22027177614373383,NoChange,VPR
Region_321,0.2906597100975309,0.004167493147797686,0.35700594827196724,NoChange,VPR
Region_322,0.037486966419432353,-0.025519831998200324,0.06677372297562534,NoChange,VPR
