bin,estimate,pval,fdr,speed,Result,Construct
PHOX2B.19016,-0.00442185741816813,0.214674241271289,0.5517602480576003,early,NoChange,KRAB
PHOX2B.19017,0.00139798755878124,0.662895672096921,0.8637011550040367,stable,NoChange,KRAB
PHOX2B.19018,0.00232387955347872,0.543750967558739,0.8005001517003764,stable,NoChange,KRAB
PHOX2B.19019,-0.00145625205533241,0.74144317364987,0.8977579029645936,stable,NoChange,KRAB
PHOX2B.19020,-0.00590005623932844,0.212654761210876,0.5495635252247689,stable,NoChange,KRAB
PHOX2B.19021,-0.00849860561892412,0.0170310362682324,0.196556259153658,stable,NoChange,KRAB
PHOX2B.19023,-0.00330577234968216,0.308722507565054,0.6376934898728258,stable,NoChange,KRAB
PHOX2B.19025,0.00181551331482233,0.605064159867654,0.8347692478951181,early,NoChange,KRAB
PHOX2B.19026,0.00267238587730363,0.468516360852958,0.7567133335748859,stable,NoChange,KRAB
PHOX2B.19027,0.00219128681569451,0.581974704381665,0.8228805849594372,stable,NoChange,KRAB
PHOX2B.19028,0.0035937739279334,0.390198817735252,0.704751574574643,stable,NoChange,KRAB
PHOX2B.19029,0.00145573907286379,0.712532656882711,0.8855756364712534,stable,NoChange,KRAB
PHOX2B.19030,-0.00177902648583435,0.647220689575057,0.8552047717891654,stable,NoChange,KRAB
PHOX2B.19031,-0.00995311365798057,0.00846993399808381,0.14918907344959456,early,NoChange,KRAB
PHOX2B.19032,-0.0115994164553602,4.7527474001977e-4,0.04968324424459953,early,Depleted,KRAB
PHOX2B.19033,-0.0113021057078091,1.9129143455743e-4,0.03498790641138719,stable,Depleted,KRAB
PHOX2B.19034,-0.00713250147234286,9.1461455273908e-4,0.06357800010058756,stable,NoChange,KRAB
PHOX2B.19035,-2.4115460525484e-4,0.912799345080449,0.9705560486072544,early,NoChange,KRAB
PHOX2B.19036,0.00367102678898405,0.10292195248255499,0.40666399486881705,stable,NoChange,KRAB
PHOX2B.19042,0.0034396569496952,0.157071233229519,0.48604316918566065,early,NoChange,KRAB
PHOX2B.19043,-0.00183570686692339,0.451302308896437,0.7479375652390111,early,NoChange,KRAB
PHOX2B.19044,-0.00534800181483889,0.0311841525937435,0.2503564972756469,stable,NoChange,KRAB
PHOX2B.19045,-0.00765234408347353,0.00504096953105428,0.12252926376136732,early,NoChange,KRAB
